-36.8 1354.24 -73.50.2
-36.7 1346.89 -73.30.2
-36.6 1339.56 -73.10.2
-36.5 1332.25 -72.90.2
-36.4 1324.96 -72.70.2
-36.3 1317.69 -72.50.2
-36.2 1310.44 -72.30.2
-36.1 1303.21 -72.10.2
-36 1296 -71.90.2
-35.9 1288.81 -71.70.2
-35.8 1281.64 -71.50.2
-35.7 1274.49 -71.30.2
-35.6 1267.36 -71.10.2
-35.5 1260.25 -70.90.2
-35.4 1253.16 -70.70.2
-35.3 1246.09 -70.50.2
-35.2 1239.04 -70.30.2
-35.1 1232.01 -70.10.2
-35 1225 -69.90.2
-34.9 1218.01 -69.70.2
-34.8 1211.04 -69.50.2
-34.7 1204.09 -69.30.2
-34.6 1197.16 -69.10.2
-34.5 1190.25 -68.90.2
-34.4 1183.36 -68.70.2
-34.3 1176.49 -68.50.2
-34.2 1169.64 -68.30.2
-34.1 1162.81 -68.10.2
-34 1156 -67.90.2
-33.9 1149.21 -67.70.2
-33.8 1142.44 -67.50.2
-33.7 1135.69 -67.30.2
-33.6 1128.96 -67.10.2
-33.5 1122.25 -66.90.2
-33.4 1115.56 -66.70.2
-33.3 1108.89 -66.50.2
-33.2 1102.24 -66.30.2
-33.1 1095.61 -66.10.2
-33 1089 -65.90.2
-32.9 1082.41 -65.70.2
-32.8 1075.84 -65.50.2
-32.7 1069.29 -65.30.2
-32.6 1062.76 -65.10.2
-32.5 1056.25 -64.90.2
-32.4 1049.76 -64.70.2
-32.3 1043.29 -64.50.2
-32.2 1036.84 -64.30.2
-32.1 1030.41 -64.10.2
-32 1024 -63.90.2
-31.9 1017.61 -63.70.2
-31.8 1011.24 -63.50.2
-31.7 1004.89 -63.30.2
-31.6 998.56 -63.10.2
-31.5 992.25 -62.90.2
-31.4 985.96 -62.70.2
-31.3 979.69 -62.50.2
-31.2 973.44 -62.30.2
-31.1 967.21 -62.10.2
-31 961 -61.90.2
-30.9 954.81 -61.70.2
-30.8 948.64 -61.50.2
-30.7 942.49 -61.30.2
-30.6 936.36 -61.10.2
-30.5 930.25 -60.90.2
-30.4 924.16 -60.70.2
-30.3 918.09 -60.50.2
-30.2 912.04 -60.30.2
-30.1 906.01 -60.10.2
-30 900 -59.90.2
-29.9 894.01 -59.70.2
-29.8 888.04 -59.50.2
